method;sudoku;visited;time;solve_calls;infeasible_count;feasible_values_calls
astar;---5----49-------31----42-----6--1---6---7---2-3---9-7-----2-48---1-65----58--3-1;57;13,490411000000222;3002;3;0
astar;-1---9------4--9----2--5-6-9-----78-783----------1-2--------3-6-64--3--95--76---4;57;13,550968000000012;2999;0;0
astar;3----4---5----1-9---7--8--1--3---1-----1-237----6--5-2--2-----8761----3-4-----6--;57;13,455041000000165;3000;1;0
astar;5-6-----9-89---4--1--3---5---------66-35-8-4----------8-2-7-1---45----87----92---;57;13,454662999999982;2999;0;0
astar;-------56826-4---3---6---2-68-15----5-----9------98---4-8---7----3-------6-7-3--5;57;13,444958000000042;2999;0;0
astar;-5--8-2--8-----9756--79-----9--4-------8----4--1-7-----46-2-1-9--------81-3---6--;57;13,533633999999893;2999;0;0
astar;-----75----9-2--3---2---496--53------9-8---24--8---9--4----16--------719---6-3---;57;13,447345999999925;3000;1;0
astar;8----------2-7-8-------47-9--8----94-6-------32--41-5--------6---6-2-3---8-9-6-15;57;13,49795899999981;3000;1;0
astar;7-5---98-8--6--1----------3-4-58-------294----8--1--3---------5-2---98--1--45--2-;57;13,432600999999977;3000;1;0
astar;---3--6------5----26-4---7--8-----5-----36-1----8--3--9-2---14----7--5---5---1769;57;13,371849000000111;2999;0;0
astar;82-7-4-----5-29------6---35----4--5---1-----9456--------7--8----4----1---6--92--7;57;13,39087900000004;3000;1;0
astar;--6--9---785--------2-8-6----4-9--7----87651-------8----------36--4-87---3--6---9;57;13,145836000000145;2999;0;0
astar;-2------86---7-32--8-4---7--4---3---7--9--8--3--5674------------7-8----5-1--4-6--;57;13,296899999999823;2999;0;0
astar;--------7-764-2------9------3---9-2-8-4-16---7---8--1--835-----6-5---14---7---6--;57;13,218746999999894;2999;0;0
astar;---185--9--7-------9-32--15---7------814-29--65------19--5-------2-91--6---------;57;13,294374999999945;3000;1;0
astar;----4------4-79------5-3--7-----41-5-4--9--7638----4----7---61-5----1---92-3-----;57;13,413182000000234;3000;1;0
astar;4892-5--3-2--------7--96------------9--42--5---1--7--2--5--934---------96---7---1;57;13,205684999999903;3002;3;0
astar;-36-----91-7523----5---4----6-2--7--7-----42------7-98---------34-----------9187-;57;13,255225000000337;3000;1;0
astar;-------3---3245----5-6------6--28----2-9--8-----7--6-9--913--7-3-----46-8----6---;57;13,31017299999985;3000;1;0
astar;-62--9---13------7---431---2-81--9--7--3--2-------2---5--7----2----561---4-8-----;57;13,456523000000288;3001;2;0
astar;9--4-5----32--1---8-1------28-------7-5---3-6------814----5---95---347-------24--;57;13,215118999999959;3004;5;0
astar;--23----53--9---8-6------9--2--73---94--6-------5--6--------84-1----89-74----7-3-;57;13,501878000000033;2999;0;0
astar;93----7------9-1---862----------5----5-----6----768--55-1-8------9--14----8-2-91-;57;13,344712000000072;2999;0;0
astar;7--8---3--2-5-6--43-6-2---16---1------------5-----982-94------82----7--------219-;57;13,366432999999688;3000;1;0
astar;-2-7-----5-----9-3----3-4-118---57------2--19-4--6----6---------9--8253----6-3---;57;13,451567000000068;3003;4;0
astar;78-5-------61-------38-24---41-----7-35-1--29------64--1-----98------------3-7--2;57;13,410307999999986;3004;5;0
astar;69-----3----1--4----4-657-------3-2--4-5--9-------95--7-2----9----6---57-6--21---;57;13,79774499999985;3000;1;0
random;65-4-2-9-7-8--1---------6-8---5--9---8-----5-------7-64-92--83----349------7-----;88;0,2363110000001143;88;0;0
random;--9--8-2---8--91---6---45--------8----31--79-18---63--7-6-------------41--543----;45;0,10900899999978719;47;2;0
random;------1--3-5-------2-45-89----1-5--3---7-------6-2---9-8--6--5---9-4--7---283--1-;1074;2,867862000000059;1082;8;0
random;--6---9----9714----1--8---2--584-----9-------8-7--34----842----------1------9125-;69;0,18101599999999962;69;0;0
random;4-3-----1----6-2-45---------6------7----738-----5--34--9-1-----83--5-4-----3-862-;58;0,15337700000009136;59;1;0
random;---2---5-69---1--------92---7-5--3-4--173--9---6--------5--71--8-----92--1-9---7-;62;0,16407799999979034;64;2;0
random;-----9----28------19-2---549----2---------7-68-57----------3-6731-8--9--2---6---5;45;0,11346899999989546;47;2;0
random;98-4----7-149--5-----5-----63--9-----4----96----85--------2-73-2--71-----5-----2-;73;0,19553499999983615;79;6;0
random;-82-7------53--79-------2--1--9--5--5--7-41---6------3---4-----3----2-4-----5836-;46;0,11842699999988326;48;2;0
random;---3-1-----8-6-9---2---9-7-8---3-65--4----3----2--5--96---7-5--79-8----1-------8-;70;0,18874000000005253;70;0;0
random;2-----7------649-----2-53---7---8----3--1---79--7-2864--4--6---6--1----3-------8-;48;0,12200200000006589;48;0;0
random;-3-2----------4--6-6---9-45--8-----2-5-36----69----7--8--1---2-3-9--21-8--6------;63;0,16705499999989115;64;1;0
random;4--21---8-8---4-----------3-4--7-1------39--47---5-32---15--4-6---8---7-6----3---;1083;3,412238999999772;1084;1;0
random;-------4-98--15-3-2--9----843--9-----------5----2-6-----3--91-5----3269--4-6-----;102;0,26889500000015687;103;1;0
random;--9------5-------8---1-594---1--3---34--7------6-----5----5--12-3--19-678---4--5-;39;0,09954400000015085;39;0;0
random;--82----3-----5-1----7-1-62-3----9---8-----5-41-5-8----43-----66--19--8--------7-;55;0,14344800000026225;55;0;0
random;-4-3-----59-1--2--16--95----5-6-----6------3-------48--7--1-9-39--4---2----28----;64;0,17179199999964112;64;0;0
random;---3--8-------8-4-6--4-------9----278-6--5-1--7--13-----3-62--9--7---3--925------;1078;2,807358999999906;1079;1;0
random;-57--62-38-----57--4--2---8-8---93---9-6---1-----35------9---5---2--1-4------8---;47;0,11842699999988326;49;2;0
random;25------3-3--6----8--9-----5--6----7----3-4---9-87-3---41-----2--2-54-7-----28---;61;0,15562499999987267;64;3;0
random;2---53-8---9-78----38-----1-1-6--------3875--9------2--8---9-----1-6---------1-78;75;0,1872790000002169;75;0;0
random;-5934---------63------9-15-------9--7--43-5-11----7--8--6-5-----7-------52-----64;1072;2,8245750000000953;1076;4;0
random;----15-7--23--------17--------159-----9-----2----8--5-4-56--8-3--684-5----7--1---;63;0,167381999999634;65;2;0
random;62-7--1-9-8----4-5-1---3--2-----8---4-----3---5--9----26----7--5-8-2-----4-6---1-;54;0,14168599999993603;54;0;0
random;4--6------2--7--83-----81-2-8--9---4-9--5-------3--97-6--------7---2--3--127----5;1062;2,783856999999898;1064;2;0
random;84-----62-----------1--34-875-----9--9-5-21---6397-----1------7-------2-3---98---;52;0,13614800000004834;55;3;0
random;-561--------4-9-7-9---6----8--2-3-9---25--8----3-4--27-------59-4--3----6-------3;80;0,2116479999999683;80;0;0
random;6---4---9-84-----7-9-3--------6--78----2----4----1-56---9----4--671--3---218-----;127;0,3370310000000245;127;0;0
random;--9---716-3------4---5-----8----71--34-------5-1--46-----8--95---7--5--3----624--;40;0,09346599999980754;42;2;0
random;--4---75-----3-2---3---1---------4921-26----8--95--63-6---------98-5-3-------8-4-;1080;2,8751179999999295;1082;2;0
random;6------3---------6-8-32-----9-----81--24----9-3-79-----6---4-5-7-5-6--9---1-3-4--;75;0,2121980000001713;80;5;0
random;--189-7-----2---6---8--1---6--5---8--1--3---6--7---------7--42-1-3---6-8-79-----3;55;0,12786000000005515;59;4;0
random;-7---8----3----1---5-39--828-5----13----8-9---1-----5-26---------1----65---2-37--;53;0,13178400000015245;54;1;0
random;--9--6------8-4--6----1-9---72------8-6--75-1------7-8-1-2-----7-85---14-----9-8-;56;0,14682700000003024;60;4;0
random;--3-25--9--4------52-7-3----7-----9---18-7-34------6-1---2-------834--------59-1-;82;0,20873399999982212;87;5;0
random;-3------295--2--3------875---8-4-2-----6----52---5---34---3-5--3--9------2--76---;64;0,16822899999988294;67;3;0
random;-6-3-5-2-----2-9---3-9--4-11-7------9---6--14--------5-42--1--8--5-8-------4---9-;81;0,22106600000006438;92;11;0
random;-2-----9-6----8--1-476---3----4851-2----195--18----7------6--------5--2---23-----;49;0,11195100000031744;54;5;0
random;9-8----6-------352-3------786----2-----63----5---7-8---91--4---6--3----1-4--52---;56;0,13838699999996606;58;2;0
random;-5---23-76----5----8---4-2--3--2----4-6---8-2------6--9---3------7---96-3-58-7---;62;0,1626089999999749;62;0;0
random;--8-5-9--3152---4-2----1--8-2-64-85------74-----3----9-53--2------5-----------6--;49;0,11653800000021874;50;1;0
random;---47-5--7------4--98---6----2-1-4-3--4---82-8-59-------9--2--8--------6---19--7-;50;0,118029000000206;50;0;0
random;264--1-----1-2--583----7---7-----4----8-4---71---7--2-4-----------3----9-36--8-7-;77;0,19966399999975692;82;5;0
random;--1-----98-----1-67---6-28----2-9---23------4-----6--8----845--4----1-----3-5-9-2;87;0,21412000000009357;94;7;0
random;1-4---86--6-5----1-----32-7-4-89--1--9---6-----5---4-----98---------478-2--7-----;64;0,15928400000029797;65;1;0
random;----7---9156----------1---2--9---5-7--3--9-8--8-75-3---9---42-3-3----------59---1;55;0,15846099999998842;57;2;0
random;15-6-3--------42-38---2-5---9----7---------51------6--3--176---5--2--47-9--5-----;51;0,1525209999999788;51;0;0
random;15-8-3--2------54--6--24--1593----------7-----8-2--------------9---428----2-914--;64;0,1821740000000318;64;0;0
random;---63---------4-8-145--89---9-----3----4----5----61-----7--5---5----3-18-341---2-;69;0,19995200000039404;70;1;0
